,Filename,Classification
0,0,True
1,1,False
2,2,False
3,3,False
4,4,False
5,5,True
6,6,False
7,7,False
8,8,True
9,9,False
10,10,False
11,11,True
12,12,False
13,13,False
14,14,False
15,15,False
16,16,True
17,17,False
18,18,False
19,19,True
20,20,False
21,21,False
22,22,True
23,23,False
24,24,False
25,25,True
26,26,False
27,27,False
28,28,True
29,29,False
30,30,False
31,31,False
32,32,False
33,33,True
34,34,False
35,35,False
36,36,True
37,37,False
38,38,False
39,39,True
40,40,False
41,41,False
42,42,False
43,43,False
44,44,True
45,45,False
46,46,False
47,47,True
48,48,False
49,49,False
50,50,False
51,51,False
52,52,True
53,53,False
54,54,False
55,55,True
56,56,False
57,57,False
58,58,True
59,59,False
60,60,False
61,61,True
62,62,False
63,63,False
64,64,False
65,65,False
66,66,True
67,67,False
68,68,False
69,69,True
70,70,False
71,71,False
72,72,True
73,73,False
74,74,False
75,75,False
76,76,True
77,77,False
78,78,False
79,79,True
80,80,False
81,81,False
82,82,True
83,83,False
84,84,False
85,85,True
86,86,False
87,87,False
88,88,False
89,89,False
90,90,True
91,91,False
92,92,False
93,93,False
94,94,True
95,95,False
96,96,False
97,97,False
98,98,False
99,99,True
100,100,False
101,101,False
102,102,True
103,103,False
104,104,False
105,105,False
106,106,False
107,107,True
108,108,False
109,109,False
110,110,True
111,111,False
112,112,False
113,113,True
114,114,False
115,115,False
116,116,False
117,117,False
118,118,True
119,119,False
120,120,False
121,121,False
122,122,False
123,123,True
124,124,False
125,125,False
126,126,True
127,127,False
128,128,False
129,129,True
130,130,False
131,131,False
132,132,False
133,133,False
134,134,True
135,135,False
136,136,False
137,137,True
138,138,False
139,139,False
140,140,False
141,141,False
142,142,True
143,143,False
144,144,False
145,145,False
146,146,True
147,147,False
148,148,False
149,149,True
150,150,False
151,151,False
152,152,False
153,153,False
154,154,True
155,155,True
156,156,False
157,157,False
158,158,False
159,159,False
160,160,True
161,161,False
162,162,False
163,163,True
164,164,False
165,165,False
166,166,True
167,167,False
168,168,False
169,169,True
170,170,False
171,171,False
172,172,True
173,173,False
174,174,False
175,175,False
176,176,False
177,177,True
178,178,False
179,179,False
180,180,False
181,181,False
182,182,True
183,183,False
184,184,False
185,185,True
186,186,False
187,187,False
188,188,True
189,189,False
190,190,False
191,191,True
192,192,False
193,193,False
194,194,False
195,195,True
196,196,False
197,197,False
198,198,False
199,199,False
200,200,True
201,201,False
202,202,False
203,203,True
204,204,False
205,205,False
206,206,True
207,207,False
208,208,False
209,209,True
210,210,False
211,211,False
212,212,True
213,213,False
214,214,False
215,215,True
216,216,False
217,217,False
218,218,True
219,219,False
220,220,False
221,221,False
222,222,False
223,223,True
224,224,True
225,225,False
226,226,False
227,227,False
228,228,False
229,229,True
230,230,False
231,231,False
232,232,True
233,233,False
234,234,False
235,235,True
236,236,False
237,237,False
238,238,True
239,239,False
240,240,False
241,241,False
242,242,False
243,243,True
244,244,False
245,245,False
246,246,True
247,247,False
248,248,False
249,249,True
250,250,False
251,251,False
252,252,True
253,253,False
254,254,False
255,255,True
256,256,False
257,257,False
258,258,False
259,259,False
260,260,True
261,261,False
262,262,False
263,263,True
264,264,False
265,265,False
266,266,True
267,267,True
268,268,False
269,269,False
270,270,False
271,271,False
272,272,True
273,273,False
274,274,False
275,275,True
276,276,False
277,277,False
278,278,False
279,279,False
280,280,True
281,281,False
282,282,False
283,283,True
284,284,False
285,285,False
286,286,True
287,287,False
288,288,False
289,289,True
290,290,False
291,291,False
292,292,True
293,293,False
294,294,False
295,295,True
296,296,False
297,297,False
298,298,True
299,299,False
300,300,False
301,301,False
302,302,False
303,303,True
304,304,False
305,305,False
306,306,False
307,307,False
308,308,True
309,309,False
310,310,False
311,311,True
312,312,False
313,313,False
314,314,True
315,315,False
316,316,False
317,317,True
318,318,False
319,319,False
320,320,True
321,321,False
322,322,False
323,323,True
324,324,False
325,325,False
326,326,True
327,327,False
328,328,False
329,329,True
330,330,False
331,331,False
332,332,True
333,333,False
334,334,False
335,335,True
336,336,False
337,337,False
338,338,True
339,339,False
340,340,False
341,341,True
342,342,False
343,343,False
344,344,True
345,345,False
346,346,False
347,347,True
348,348,False
349,349,False
350,350,True
351,351,False
352,352,False
353,353,True
354,354,False
355,355,False
356,356,True
357,357,False
358,358,False
359,359,True
360,360,False
361,361,False
362,362,True
363,363,False
364,364,False
365,365,False
366,366,False
367,367,True
368,368,False
369,369,False
370,370,True
371,371,False
372,372,False
373,373,True
374,374,False
375,375,False
376,376,True
377,377,False
378,378,False
379,379,True
380,380,False
381,381,False
382,382,True
383,383,False
384,384,False
385,385,True
386,386,False
387,387,False
388,388,True
389,389,True
390,390,False
391,391,False
392,392,False
393,393,False
394,394,True
395,395,False
396,396,False
397,397,False
398,398,False
399,399,True
400,400,False
401,401,False
402,402,True
403,403,False
404,404,False
405,405,True
406,406,False
407,407,False
408,408,True
409,409,False
410,410,False
411,411,True
412,412,False
413,413,False
414,414,True
415,415,False
416,416,False
417,417,True
418,418,False
419,419,False
420,420,False
421,421,False
422,422,True
423,423,False
424,424,False
425,425,True
426,426,False
427,427,False
428,428,False
429,429,False
430,430,True
431,431,False
432,432,False
433,433,True
434,434,False
435,435,False
436,436,True
437,437,False
438,438,False
439,439,True
440,440,False
441,441,False
442,442,False
443,443,False
444,444,True
445,445,False
446,446,False
447,447,True
448,448,False
449,449,False
450,450,True
451,451,False
452,452,False
453,453,True
454,454,False
455,455,False
456,456,True
457,457,False
458,458,False
459,459,False
460,460,True
461,461,False
462,462,False
463,463,True
464,464,False
465,465,False
466,466,True
467,467,False
468,468,False
469,469,True
470,470,False
471,471,False
472,472,False
473,473,False
474,474,True
475,475,False
476,476,False
477,477,True
478,478,False
479,479,False
480,480,False
481,481,False
482,482,True
483,483,True
484,484,False
485,485,False
486,486,False
487,487,False
488,488,True
489,489,False
490,490,False
491,491,False
492,492,False
493,493,True
494,494,False
495,495,False
496,496,False
497,497,False
498,498,True
499,499,False
500,500,False
501,501,True
502,502,False
503,503,False
504,504,True
505,505,False
506,506,False
507,507,False
508,508,False
509,509,True
510,510,False
511,511,False
512,512,False
513,513,False
514,514,True
515,515,False
516,516,False
517,517,True
518,518,False
519,519,False
520,520,True
521,521,False
522,522,False
523,523,False
524,524,False
525,525,True
526,526,False
527,527,False
528,528,True
529,529,False
530,530,False
531,531,False
532,532,False
533,533,True
534,534,False
535,535,False
536,536,False
537,537,False
538,538,True
539,539,False
540,540,False
541,541,True
542,542,True
543,543,False
544,544,False
545,545,False
546,546,False
547,547,False
548,548,False
549,549,True
550,550,False
551,551,False
552,552,True
553,553,False
554,554,False
555,555,False
556,556,False
557,557,True
558,558,False
559,559,False
560,560,True
561,561,False
562,562,False
563,563,False
564,564,True
565,565,False
566,566,False
567,567,True
568,568,False
569,569,False
570,570,False
571,571,False
572,572,True
573,573,False
574,574,False
575,575,False
576,576,False
577,577,True
578,578,False
579,579,False
580,580,False
581,581,False
582,582,True
583,583,False
584,584,False
585,585,True
586,586,False
587,587,False
588,588,True
589,589,False
590,590,False
591,591,True
592,592,False
593,593,False
594,594,True
595,595,False
596,596,False
597,597,True
598,598,True
599,599,False
600,600,False
601,601,False
602,602,False
603,603,True
604,604,False
605,605,False
606,606,True
607,607,False
608,608,False
609,609,False
610,610,False
611,611,True
612,612,False
613,613,False
614,614,True
615,615,True
616,616,False
617,617,False
618,618,False
619,619,False
620,620,True
621,621,False
622,622,False
623,623,False
624,624,False
625,625,True
626,626,False
627,627,False
628,628,True
629,629,False
630,630,False
631,631,False
632,632,False
633,633,True
634,634,False
635,635,False
636,636,True
637,637,False
638,638,False
639,639,True
640,640,False
641,641,False
642,642,False
643,643,False
644,644,True
645,645,False
646,646,False
647,647,False
648,648,False
649,649,True
650,650,False
651,651,False
652,652,True
653,653,False
654,654,False
655,655,False
656,656,False
657,657,True
658,658,False
659,659,False
660,660,True
661,661,False
662,662,False
663,663,True
664,664,False
665,665,False
666,666,True
667,667,True
668,668,False
669,669,False
670,670,False
671,671,False
672,672,False
673,673,False
674,674,True
675,675,False
676,676,False
677,677,False
678,678,False
679,679,True
680,680,False
681,681,False
682,682,True
683,683,False
684,684,False
685,685,False
686,686,False
687,687,True
688,688,False
689,689,False
690,690,True
691,691,False
692,692,False
693,693,False
694,694,False
695,695,True
696,696,True
697,697,False
698,698,False
699,699,False
700,700,False
701,701,False
702,702,False
703,703,True
704,704,False
705,705,False
706,706,True
707,707,True
708,708,False
709,709,False
710,710,False
711,711,False
712,712,False
713,713,False
714,714,True
715,715,False
716,716,False
717,717,True
718,718,False
719,719,False
720,720,False
721,721,True
722,722,False
723,723,False
724,724,True
725,725,True
726,726,False
727,727,False
728,728,False
729,729,False
730,730,True
731,731,False
732,732,False
733,733,True
734,734,False
735,735,False
736,736,False
737,737,False
738,738,True
739,739,False
740,740,False
741,741,True
742,742,False
743,743,False
744,744,True
745,745,False
746,746,False
747,747,True
748,748,False
749,749,False
750,750,True
751,751,False
752,752,False
753,753,True
754,754,False
755,755,False
756,756,True
757,757,False
